y,y_pred,y_pred_prob,,
1,0,0.542149,1,0.457851
1,1,0.528257,0,0.471743
1,1,0.527311,0,0.472689
1,1,0.599841,0,0.400159
1,0,0.683680,1,0.316320
1,1,0.570981,0,0.429019
1,1,0.517766,0,0.482234
1,1,0.527311,0,0.472689
1,1,0.517768,0,0.482232
1,0,0.506571,1,0.493429
1,0,0.500633,1,0.499367
1,1,0.518054,0,0.481946
1,1,0.511565,0,0.488435
1,0,0.541596,1,0.458404
1,1,0.522472,0,0.477528
1,0,0.537516,1,0.462484
1,1,0.513484,0,0.486516
1,1,0.502866,0,0.497134
1,0,0.500639,1,0.499361
1,1,0.520110,0,0.479890
1,1,0.500036,0,0.499964
1,1,0.511889,0,0.488111
1,1,0.529507,0,0.470493
1,1,0.541041,0,0.458959
1,0,0.502512,1,0.497488
1,1,0.526076,0,0.473924
1,0,0.506627,1,0.493373
1,1,0.535345,0,0.464655
1,1,0.583739,0,0.416261
1,1,0.599070,0,0.400930
1,1,0.529874,0,0.470126
1,1,0.530328,0,0.469672
1,1,0.522294,0,0.477706
1,0,0.833726,1,0.166274
1,1,0.523757,0,0.476243
1,1,0.502165,0,0.497835
1,1,0.500977,0,0.499023
1,0,0.500639,1,0.499361
1,1,0.517383,0,0.482617
1,1,0.535722,0,0.464278
1,0,0.537516,1,0.462484
1,1,0.522174,0,0.477826
1,1,0.541174,0,0.458826
1,1,0.521626,0,0.478374
1,0,0.644312,1,0.355688
1,0,0.510616,1,0.489384
1,1,0.545127,0,0.454873
1,1,0.522206,0,0.477794
1,0,0.531641,1,0.468359
1,0,0.521144,1,0.478856
1,1,0.541589,0,0.458411
1,1,0.518054,0,0.481946
1,1,0.542482,0,0.457518
1,0,0.547537,1,0.452463
1,1,0.523364,0,0.476636
1,1,0.531146,0,0.468854
1,0,0.542733,1,0.457267
1,1,0.537960,0,0.462040
1,0,0.513023,1,0.486977
1,1,0.575766,0,0.424234
1,0,0.532078,1,0.467922
1,1,0.510271,0,0.489729
1,1,0.519172,0,0.480828
1,1,0.522457,0,0.477543
1,1,0.527004,0,0.472996
1,1,0.514836,0,0.485164
1,0,0.509637,1,0.490363
1,1,0.545127,0,0.454873
1,1,0.583739,0,0.416261
1,1,0.573588,0,0.426412
1,0,0.500631,1,0.499369
1,1,0.520762,0,0.479238
1,1,0.523880,0,0.476120
1,1,0.519727,0,0.480273
1,1,0.526355,0,0.473645
1,1,0.565643,0,0.434357
1,1,0.560605,0,0.439395
1,1,0.515536,0,0.484464
1,0,0.543744,1,0.456256
1,1,0.541174,0,0.458826
1,0,0.545142,1,0.454858
1,0,0.510884,1,0.489116
1,0,0.504110,1,0.495890
1,0,0.503119,1,0.496881
1,0,1.000000,1,0.000000
1,0,0.508701,1,0.491299
1,1,0.536477,0,0.463523
1,1,0.560469,0,0.439531
1,0,1.000000,1,0.000000
1,0,0.510718,1,0.489282
1,1,0.514145,0,0.485855
1,1,0.541174,0,0.458826
1,1,0.581171,0,0.418829
1,1,0.515558,0,0.484442
1,1,0.537960,0,0.462040
1,0,1.000000,1,0.000000
1,0,0.500631,1,0.499369
1,1,0.511584,0,0.488416
1,1,0.517598,0,0.482402
1,1,0.554208,0,0.445792
1,0,0.526969,1,0.473031
1,0,0.509321,1,0.490679
1,0,0.563465,1,0.436535
1,0,0.532078,1,0.467922
1,1,0.501376,0,0.498624
1,0,0.501275,1,0.498725
1,1,0.517028,0,0.482972
1,1,0.503132,0,0.496868
1,1,0.503322,0,0.496678
1,1,0.509803,0,0.490197
1,1,0.537080,0,0.462920
1,1,0.519630,0,0.480370
1,1,0.533757,0,0.466243
1,1,0.581770,0,0.418230
1,0,1.000000,1,0.000000
1,1,0.599841,0,0.400159
1,0,0.500631,1,0.499369
1,1,0.505715,0,0.494285
1,1,0.583739,0,0.416261
1,1,0.525459,0,0.474541
1,0,0.628709,1,0.371291
1,0,0.619947,1,0.380053
1,1,0.534227,0,0.465773
1,1,0.519638,0,0.480362
1,1,0.583739,0,0.416261
1,0,0.564749,1,0.435251
1,1,0.509317,0,0.490683
1,1,0.541174,0,0.458826
1,1,0.521626,0,0.478374
1,1,0.505363,0,0.494637
1,1,0.532124,0,0.467876
1,0,0.516418,1,0.483582
1,1,0.535722,0,0.464278
1,1,0.563534,0,0.436466
1,1,0.500197,0,0.499803
1,0,0.520254,1,0.479746
1,1,0.514836,0,0.485164
1,0,0.511751,1,0.488249
1,1,0.527311,0,0.472689
1,1,0.511130,0,0.488870
1,0,0.528697,1,0.471303
1,1,0.514836,0,0.485164
1,1,0.522853,0,0.477147
1,1,0.604127,0,0.395873
1,1,0.519727,0,0.480273
1,1,0.509134,0,0.490866
1,1,0.520086,0,0.479914
1,1,0.508777,0,0.491223
1,1,0.533346,0,0.466654
1,1,0.532923,0,0.467077
1,1,0.530868,0,0.469132
1,1,0.522472,0,0.477528
1,1,0.519983,0,0.480017
1,1,0.511890,0,0.488110
1,0,1.000000,1,0.000000
1,1,0.522853,0,0.477147
1,1,0.567508,0,0.432492
1,0,0.537129,1,0.462871
1,0,0.547716,1,0.452284
1,1,0.541174,0,0.458826
1,0,0.537516,1,0.462484
1,1,0.516227,0,0.483773
1,0,1.000000,1,0.000000
1,1,0.542482,0,0.457518
1,0,0.541515,1,0.458485
1,1,0.536778,0,0.463222
1,0,0.500034,1,0.499966
1,1,0.511360,0,0.488640
1,1,0.520762,0,0.479238
1,1,0.516510,0,0.483490
1,1,0.522472,0,0.477528
1,0,0.526159,1,0.473841
1,1,0.521110,0,0.478890
1,1,0.502973,0,0.497027
1,0,1.000000,1,0.000000
1,1,0.504842,0,0.495158
1,1,0.540354,0,0.459646
1,1,0.533907,0,0.466093
1,1,0.550740,0,0.449260
1,1,0.512896,0,0.487104
1,1,0.502062,0,0.497938
1,1,0.541174,0,0.458826
1,0,0.517264,1,0.482736
1,0,0.519709,1,0.480291
1,1,0.513146,0,0.486854
1,1,0.535722,0,0.464278
1,0,1.000000,1,0.000000
1,1,0.528808,0,0.471192
1,1,0.553479,0,0.446521
1,1,0.523749,0,0.476251
1,1,0.541969,0,0.458031
1,0,0.519864,1,0.480136
1,0,0.512570,1,0.487430
1,1,0.528427,0,0.471573
1,0,0.516418,1,0.483582
1,1,0.511442,0,0.488558
1,1,0.533259,0,0.466741
1,1,0.501468,0,0.498532
1,0,1.000000,1,0.000000
1,1,0.550740,0,0.449260
1,1,0.520579,0,0.479421
1,1,0.541174,0,0.458826
1,1,0.506041,0,0.493959
1,1,0.534666,0,0.465334
1,0,0.562458,1,0.437542
1,0,0.506425,1,0.493575
1,1,0.530097,0,0.469903
1,1,0.535722,0,0.464278
1,1,0.516976,0,0.483024
1,1,0.501938,0,0.498062
1,1,0.500141,0,0.499859
1,1,0.541174,0,0.458826
1,1,0.504678,0,0.495322
1,1,0.513042,0,0.486958
1,0,0.508700,1,0.491300
1,1,0.525209,0,0.474791
1,1,0.542492,0,0.457508
1,1,0.520854,0,0.479146
1,1,0.515536,0,0.484464
1,1,0.518060,0,0.481940
1,0,0.833726,1,0.166274
1,0,0.511717,1,0.488283
1,0,0.501650,1,0.498350
