y,y_pred,y_pred_prob,oth_pred,oth_pred_prob
1,1,0.527311,0,0.472689
1,1,0.546412,0,0.453588
1,0,0.520254,1,0.479746
1,0,0.615233,1,0.384767
1,1,0.513146,0,0.486854
1,1,0.503799,0,0.496201
1,1,0.501057,0,0.498943
1,1,0.501938,0,0.498062
1,1,0.573958,0,0.426042
1,0,0.570524,1,0.429476
1,1,0.526594,0,0.473406
1,1,0.517768,0,0.482232
1,0,0.541749,1,0.458251
1,1,0.553987,0,0.446013
1,1,0.532523,0,0.467477
1,1,0.533531,0,0.466469
1,1,0.536778,0,0.463222
1,1,0.507812,0,0.492188
1,1,0.653675,0,0.346325
1,1,0.530328,0,0.469672
1,1,0.537080,0,0.462920
1,0,0.511717,1,0.488283
1,1,0.516727,0,0.483273
1,1,0.519177,0,0.480823
1,1,0.513542,0,0.486458
1,0,0.507667,1,0.492333
1,0,0.504909,1,0.495091
1,0,0.622499,1,0.377501
1,1,0.506115,0,0.493885
1,0,0.555155,1,0.444845
1,0,1.000000,1,0.000000
1,1,0.534144,0,0.465856
1,0,0.507683,1,0.492317
1,0,1.000000,1,0.000000
1,1,0.521110,0,0.478890
1,1,0.541174,0,0.458826
1,0,0.513562,1,0.486438
1,1,0.567508,0,0.432492
1,1,0.541174,0,0.458826
1,1,0.508949,0,0.491051
1,0,0.513735,1,0.486265
1,1,0.515817,0,0.484183
1,1,0.530997,0,0.469003
1,0,0.520746,1,0.479254
1,1,0.537080,0,0.462920
1,1,0.522472,0,0.477528
1,0,0.549505,1,0.450495
1,0,0.511751,1,0.488249
1,1,0.534867,0,0.465133
1,0,0.524366,1,0.475634
1,0,0.531170,1,0.468830
1,1,0.532054,0,0.467946
1,1,0.509614,0,0.490386
1,1,0.523310,0,0.476690
1,0,0.647121,1,0.352879
1,0,0.511751,1,0.488249
1,1,0.524629,0,0.475371
1,1,0.537080,0,0.462920
1,0,0.515031,1,0.484969
1,0,0.527876,1,0.472124
1,0,0.501275,1,0.498725
1,1,0.517513,0,0.482487
1,1,0.514503,0,0.485497
1,1,0.583739,0,0.416261
1,1,0.515488,0,0.484512
1,0,0.525007,1,0.474993
1,0,0.700680,1,0.299320
1,1,0.517573,0,0.482427
1,1,0.541969,0,0.458031
1,1,0.522853,0,0.477147
1,1,0.546621,0,0.453379
1,1,0.554950,0,0.445050
1,1,0.537034,0,0.462966
1,0,0.500639,1,0.499361
1,1,0.517501,0,0.482499
1,0,0.505887,1,0.494113
1,0,0.576502,1,0.423498
1,0,0.551836,1,0.448164
1,0,0.627635,1,0.372365
1,1,0.513387,0,0.486613
1,1,0.525459,0,0.474541
1,1,0.508696,0,0.491304
1,0,0.536821,1,0.463179
1,1,0.515328,0,0.484672
1,1,0.541969,0,0.458031
1,0,0.502737,1,0.497263
1,1,0.504207,0,0.495793
1,1,0.519183,0,0.480817
1,1,0.503945,0,0.496055
1,0,0.515031,1,0.484969
1,1,0.534025,0,0.465975
1,0,1.000000,1,0.000000
1,1,0.521489,0,0.478511
1,1,0.525633,0,0.474367
1,1,0.516727,0,0.483273
1,0,0.549505,1,0.450495
1,1,0.506038,0,0.493962
1,1,0.508277,0,0.491723
1,1,0.532923,0,0.467077
1,1,0.507768,0,0.492232
1,1,0.503906,0,0.496094
1,1,0.561356,0,0.438644
1,1,0.521626,0,0.478374
1,0,0.506571,1,0.493429
1,1,0.520602,0,0.479398
1,0,0.505688,1,0.494312
1,1,0.506768,0,0.493232
1,1,0.516727,0,0.483273
1,0,0.501949,1,0.498051
1,0,0.520128,1,0.479872
1,1,0.509634,0,0.490366
1,1,0.553479,0,0.446521
1,1,0.506493,0,0.493507
1,0,0.648011,1,0.351989
1,0,0.599216,1,0.400784
1,0,0.515030,1,0.484970
1,0,0.519251,1,0.480749
1,1,0.531100,0,0.468900
1,1,0.574765,0,0.425235
1,1,0.513042,0,0.486958
1,1,0.505363,0,0.494637
1,0,0.513408,1,0.486592
1,0,0.505887,1,0.494113
1,0,0.547716,1,0.452284
1,1,0.547640,0,0.452360
1,1,0.541969,0,0.458031
1,0,0.522850,1,0.477150
1,0,0.501869,1,0.498131
1,0,1.000000,1,0.000000
1,0,0.500639,1,0.499361
1,1,0.514836,0,0.485164
1,0,0.516418,1,0.483582
1,1,0.526094,0,0.473906
1,1,0.696283,0,0.303717
1,1,0.545820,0,0.454180
1,1,0.526076,0,0.473924
1,0,0.554330,1,0.445670
1,0,0.583560,1,0.416440
1,1,0.541174,0,0.458826
1,1,0.526020,0,0.473980
1,1,0.503132,0,0.496868
1,1,0.512265,0,0.487735
1,0,0.522850,1,0.477150
1,1,0.514300,0,0.485700
1,1,0.550740,0,0.449260
1,0,0.530128,1,0.469872
1,1,0.529232,0,0.470768
1,1,0.511048,0,0.488952
1,0,0.833726,1,0.166274
1,1,0.516774,0,0.483226
1,0,0.833726,1,0.166274
1,1,0.509175,0,0.490825
1,1,0.537548,0,0.462452
1,1,0.540354,0,0.459646
1,0,0.561403,1,0.438597
1,1,0.522472,0,0.477528
1,1,0.581770,0,0.418230
1,1,0.500092,0,0.499908
1,1,0.524052,0,0.475948
1,1,0.502866,0,0.497134
1,1,0.520762,0,0.479238
1,1,0.522789,0,0.477211
1,0,0.509488,1,0.490512
1,0,0.519709,1,0.480291
1,0,0.619947,1,0.380053
1,1,0.508777,0,0.491223
1,1,0.522853,0,0.477147
1,1,0.509317,0,0.490683
1,1,0.522472,0,0.477528
1,1,0.544796,0,0.455204
1,1,0.514952,0,0.485048
1,0,0.527104,1,0.472896
1,1,0.515453,0,0.484547
1,1,0.535722,0,0.464278
1,0,0.689079,1,0.310921
1,0,0.532181,1,0.467819
1,1,0.525649,0,0.474351
1,1,0.504842,0,0.495158
1,1,0.512228,0,0.487772
1,1,0.523101,0,0.476899
1,1,0.503870,0,0.496130
1,1,0.581770,0,0.418230
1,1,0.522853,0,0.477147
1,0,0.526337,1,0.473663
1,1,0.511876,0,0.488124
1,1,0.527144,0,0.472856
1,1,0.522052,0,0.477948
1,0,0.833726,1,0.166274
1,1,0.581770,0,0.418230
1,0,0.516418,1,0.483582
1,0,0.523423,1,0.476577
1,0,0.683680,1,0.316320
1,0,0.500639,1,0.499361
1,1,0.531785,0,0.468215
1,0,0.511520,1,0.488480
1,1,0.695770,0,0.304230
1,0,0.510884,1,0.489116
1,1,0.536000,0,0.464000
1,1,0.572853,0,0.427147
1,1,0.513167,0,0.486833
1,1,0.572853,0,0.427147
1,1,0.519976,0,0.480024
1,1,0.525459,0,0.474541
1,1,0.535968,0,0.464032
1,1,0.505822,0,0.494178
1,0,0.519444,1,0.480556
1,1,0.545610,0,0.454390
1,0,0.512217,1,0.487783
1,0,0.531170,1,0.468830
1,1,0.518054,0,0.481946
1,0,1.000000,1,0.000000
1,0,0.619947,1,0.380053
1,1,0.504842,0,0.495158
1,1,0.518144,0,0.481856
1,0,0.527876,1,0.472124
1,0,0.554330,1,0.445670
1,1,0.518054,0,0.481946
1,0,0.537516,1,0.462484
1,1,0.530058,0,0.469942
1,0,0.648011,1,0.351989
1,1,0.530532,0,0.469468
1,1,0.537080,0,0.462920
1,1,0.550740,0,0.449260
1,1,0.532835,0,0.467165
1,1,0.599070,0,0.400930
1,0,0.510169,1,0.489831
1,1,0.563534,0,0.436466
1,0,0.531028,1,0.468972
1,0,0.519709,1,0.480291
1,1,0.504241,0,0.495759
1,1,0.550740,0,0.449260
1,1,0.537034,0,0.462966
1,0,0.633701,1,0.366299
1,1,0.500371,0,0.499629
1,1,0.526355,0,0.473645
1,1,0.533171,0,0.466829
1,1,0.573958,0,0.426042
1,1,0.508777,0,0.491223
1,1,0.525459,0,0.474541
